"Opportunity Name","Opportunity Type","Description","Organization","Grade Level","Financial Aid","State","Cost","Start Date","End Date","Deadline Date","Contact First Name","Contact Last Name","Contact Phone Number","Contact Email","Application URL","Opportunity Category","GPA","Race","Gender","Major","Recommendation","Essay","Renewable","Scholarship Amount"
"EXPLORE Global Commerce & Multicultural Awareness Institute","Summer Opportunity ","Interested in Global Business? Do you want international exposure? Students will have the opportunity to tour different facilities in the greater Houston area that conduct business in the United States and abroad. Participating in global commerce includes knowledge of diversity and inclusion. Students will hear from companies who explain how to manage and conduct business internationally.","University of Houston","9,10,11","Free","Texas","$0.00","6/14/2021","6/18/2021","3/31/2021","Bauer","Business","","bba@uh.edu","https://www.bauer.uh.edu/undergraduate/summercamp/","Leadership Business and Finance","","","","","","","",""
"EXPLORE Energy & Sustainability Summer Institute","Summer Opportunity ","Will we run out of oil and what will replace it? Natural gas, nuclear, solar, or wind?  How do we run our cars, businesses, and homes and still have a clean environment and avoid dramatic climate changes?  These are just a few of the questions you will explore with the University of Houston Bauer College faculty and industry experts. In this program, students will be given a sustainable product they must build that will shape the future.","University of Houston","9,10,11, 12","Free","Texas","$0.00","6/21/2021","6/26/2021","3/31/2021","Bauer","Business","","bba@uh.edu","http://www.bauer.uh.edu/undergraduate/prospective-students/high-school/summer-camps.php","Business, Finance and Entrepreneurship","","","","","","","",""
"SURP Summer Undergraduate Research Program ","Summer Opportunity ","Objectives: (1) to provide a research experience that may help students evaluate their interest and potential in a biomedical research career and, (2) to provide practical training in the use of current research techniques.","University of Nebraska Medical Center","9,10,11,12","Yes","Nebraska","$0.00","6/1/2021","8/7/2021","2/1/2021","Kim","Morrison","402-559-4788","kmorrison@unmc.edu","http://www.unmc.edu/Pharmacology/","Science Health and Medicine","","","","","","","",""
"Discover Yourself in Accounting Majors and Careers DYNAMC","Summer Opportunity ","The Discover Yourself in Accounting Majors and Careers (DYNAMC) takes place from June 16-21, 2019. This all expenses paid program offers high school students from all backgrounds the chance to explore career paths in accounting. DYNAMC is the perfect opportunity to learn new skills, make new connections, and see all the advantages there are to being a part of the nation's #1 accounting program. Sponsored by EY","University of Texas at Austin","10,11,12","Free","Texas","$0.00","6/21/2021","6/26/2021","1/31/2021","McCombs","Summer","(512) 475-7340","SummerPrograms@McCombs.utexas.edu","http://www.mccombs.utexas.edu/BBA/Academics/Summer-High-School-Programs","Leadership Business and Finance","","","","","","","",""
"McCombs Future Executives Academy (MFEA)","Summer Opportunity ","The McCombs Future Executive Academy (MFEA) brings high school students together for a week of hands-on workshops and learning opportunities. This all expenses paid program takes place from June 2-7, 2019 on The University of Texas at Austin campus. It's a great way to meet new people, challenge yourself, and gain experience you can use when applying for college.","University of Texas at Austin","11,12","Yes","Texas","$0.00","6/7/2021","6/12/2021","4/1/2021","McCombs","Summer","(512) 475-7340","summerprograms@Mccombs.utexas.edu","https://www.mccombs.utexas.edu/BBA/Academics/Summer-High-School-Programs","Business, Finance and Entrepreneurship","","","","","","","",""
"Subiendo Academy","Summer Opportunity ","McCombs School of Business
 Subiendo means _СТclimbing_Сќ or _СТgoing up._Сќ The name refers to the next generation of rising leaders who will address the challenges of our state and nation.
 Subiendo seeks to empower the next generation of Texas leaders and encourage them to pursue higher education and civic engagement in critical fields.
 The Academy will encourage the rising generation to believe in their potential and aspire to lead.","University of Texas at Austin","10,11,12","Free","Texas","$0.00","6/14/2021","6/18/2021","1/31/2021","Subiendo","Academy","512-232-3348","Subiendo@austin.utexas.edu","http://www.mccombs.utexas.edu/centers/hispanic-leadership-initiative/subiendo","College Fly-Ins (for high school seniors)","","","","","","","",""
"First Bytes Computer Science Summer Camp For Girls","Summer Opportunity ","First Bytes Summer Camps are free, one-week residential camp programs for high school females - one camp is for rising sophomores and the other is for rising juniors/seniors. The camps are designed to dispel myths about computer science and intrigue young women with the potential of computing and the excitement of problem solving.  You must be a Texas resident to apply.","University of Texas at Austin","9,10,11,12","Free","Texas","$0.00","5/31/2021","6/6/2021","3/19/2021","Texas","Computer-Science ","","camp@cs.utexas.edu","https://apps.cs.utexas.edu/camp/firstbytes","Technology Math and Engineering","","","","","","","",""
"WEatUT - Cockrell School of Engineering","Summer Opportunity ","Cockrell School of Engineering
 Women Engineer at The University of Texas at Austin (WEatUT) is an overnight program for rising high school senior women.
 At WEatUT, participants will explore how engineering benefits society and impacts the world through:
 Seventy WEatUT participants will be housed on campus. WEatUT participants will be selected based on their completed WEatUT applications. There is a non-refundable registration fee for participants. Registration fee scholarships will be available.
 WEatUTл_applications for 2016 will be open in May 2016.
 Please reference the followingл_document for participation guidelines, a sample schedule, and additional program information.","University of Texas at Austin","11,12","Free","Texas","$0.00","6/15/2021","6/19/2021","3/15/2021","Tricia","Berry","512-471-5650","wep@engr.utexas.edu","http://www.engr.utexas.edu/wep/k-12-programs/camps/we-at-ut","Technology Math and Engineering","","","","","","","",""
"CREATEatUT","Summer Opportunity ","CREATE at The University of Texas at Austin (CREATEatUT) is a residential summer camp designed for young women going into their junior year of high school who have an interest in math, technology, science or engineering.","University of Texas at Austin","11,12","Free","Texas","$0.00","6/9/2021","6/12/2021","3/15/2021","Tricia","Berry","512-471-5650","wep@engr.utexas.edu","https://www.engr.utexas.edu/wep/k-12-programs/camps/create-at-ut","Technology Math and Engineering","","","","","","","",""
"Biomedical Research Training for High School Students","Summer Opportunity ","UTMB Office of Educational Outreach
 The primary goal of this program is to provide a stimulating, active bench experience in scientific research for students in order to increase their familiarity with the scientific process and their motivation to pursue careers in research or science teaching. This program addresses the critical need in the United States for more scientists and science teachers. UTMB is a major biomedical science center supporting more than 750 research projects, many of which are well suited for developing students with academic potential and encouraging them to pursue biomedical and scientific careers.
 Research Team Placement Research Activities Other Activities Eligible Students recommendations from a science or math teacher and a counselor student's essay about his/her hopes for the experience The core of this experience is placement of each student for eight weeks in an ongoing research team. Under the guidance of a faculty preceptor, the student will learn research skills in order to contribute to the overall effort. The preceptor will give the student an overview of the goals and methods of the research effort. Skills and techniques a student may learn include starting and maintaining cell cultures, extraction and purification of various bimolecular, electrophoresis, chromatography, light and electron microscopy, electrophysiology, data analysis using a microcomputer, and other biochemical assays and molecular biology techniques. Students participate in a weekly research seminar series, organized especially for them, to hear presentations from scientists on campus and to present their research to the group for discussion. Faculty may assist students in explaining the methodology in their research. Students will receive guidance in scientific research and teaching careers and will participate in discussions of important ethical issues facing scientists today. All participants are given the opportunity to present the results of their research experience in oral presentations and the concluding research poster session. The program is open to area high school students who will be at least 16 years old by June 08, 2015, and who have a G.P.A. of at least 2.5 on a scale of 4.0, AND live within a 50 mile driving radius of the UTMB Galveston campus. Participants will be selected from applicants by the Committee in Support of Science Education of the Graduate School of Biomedical Sciences. Candidates are required to have completed a course in high school chemistry. Juniors and sophomores who have an interest in and aptitude for science will be given primary consideration. These will be judged in terms of: Students from groups under-represented in the biomedical sciences are encouraged to apply. The University of Texas Medical Branch at Galveston is an affirmative action, equal opportunity employer.
 Students who participate in this program will be non-paid student trainees. Please note that UTMB implemented Pre-Employment Drug Testing in 2008 in accordance with IHOP Policy 3.3.18. Participants who are accepted to this program will be contingent on a successful drug screening and security clearance.
 You are encouraged to submit your application in advance of the deadline to avoid missing the application window. Incomplete applications will not be considered. Biomedical Research Training for High School Students Program Office of Educational Outreach The University of Texas Medical Branch 301 University Boulevard Galveston, TX 77555-0981 Sylvia Torres You must complete and submit the online application, as well as the supporting documentation, by 11:59:59 PM Friday, April 3, 2015. Approximately 4 weeks after the application deadline, acceptance and rejection letters will be emailed/mailed to the applicant«Џ_s reported address, upon committee review of the completed application and supporting documentation. All supporting documentation should be mailed to: For more information, call (409) 772-7836 or email: Sylvia Torres","University of Texas Medical Branch","10,11","Free","Texas","$0.00","6/8/2021","7/31/2021","3/23/2021","Marguerite","Sognier","(409) 772-9119","masognie@utmb.edu","https://www.utmb.edu/oeo/student-programs/biomedical-research-training","Science Health and Medicine","","","","","","","",""
"Research Camp; Engineering Apprenticeship Program - AEOP","Summer Opportunity ","For high school students, the Science and Engineering Apprenticeship Program (SEAP) matches practicing DoD scientists with talented high school students to create a direct mentor-student relationship. This level of first-hand research experience is unparalleled at most high schools.","University of Texas--Austin","10,11,12","Yes","Texas","$0.00","6/1/2021","8/1/2021","3/2/2021","Army","Education","585-475-2566","aeopapprenticeships@rit.edu","https://www.usaeop.com/program/seap/","Technology Math and Engineering","","","","","","","",""
"Health Professions Recruitment and Exposure Program HPREP","Summer Opportunity ","High School Programs: Student Diversity and Inclusion
 Theл_Health Professionals Recruitment Exposure Program (HPREP)л_is a 5-week program sponsored by UT Southwestern for 10th to 12th grade high school students to help them prepare for application to college and to gain exposure to science and health care careers. Approximately 125 students are selected to participate in HPREP. Participating students tend to be under-represented minorities and/or economically disadvantaged individuals.
 Theл_Science Teacher Access to Resources at Southwestern (STARS)encourages students (high school juniors in DISD) to pursue science-related careers.л_ Students are provided the opportunity to work side-by-side with a faculty host in a research laboratory setting.
 The Mayor_Сйs Intern Fellows Programл_is an eight-week, paid summer internship program introducing students from public and charter high schools to careers and employment opportunities in industries, companies, government agencies and nonprofits where they have expressed interest. Facilitated by nonprofit Education is Freedom, the program provides all student fellows with exemplary professional training in resume building, interviewing, business communication, professional dress and etiquette, financial literacy and career choices.
 Theл_STEMPREP Distance Learning Programл_is a joint program which is sponsored by Southern Methodist University (SMU) for underrepresented minority students who are interested in a career as a physician scientist. These students participate in this longitudinal program over 6 years and have research experiences each summer beginning in high school at UT Southwestern Medical School. Approximately 20 students are selected to spend 2 summers at the medical School during their college years with the potential for recruitment to the medical school programs.
 The Student Volunteer Program is open to high school and college students, 16 years of age and older, interested in donating their time serving patients and families of Children_Сйs Health Children's Medical Center Dallas.","UT Southwestern","10,11,12","Free","Texas","$0.00","1/1/2021","3/1/2021","11/19/2020","Southwestern","HPREP","","hprep@utsouthwestern.edu","https://www.utsouthwestern.edu/education/programs/nondegree-programs/high-school-students/hprep/","Science Health and Medicine","","","","","","","",""
"Wonderworks: College Conseling Workshop","Summer Opportunity ","The college essay is the one chance most students have to give admissions committees a sense of their own voice, personality, circumstances, and potentials, apart from the clues standardized tests, coursework, and grades provide, even when supplemented by the third-person testimonials of teachers and counselors. These essays have not only spawned a cottage industry of coaches and consultants, they’ve also become a genre unto themselves, specimen examples of which are published in The New York Times annually, copiously anthologized, and even posted on the websites of some of the most selective colleges and universities nationwide.","Wonder Works Houston","11,12","Free","Texas","$0.00","7/13/2021","7/17/2021","5/1/2021","Wonderworks","Houston","832-450-9505","info@wonderworkshouston.org","https://www.wonderworkshouston.org/college-access-workshops","Leadership Business and Finance","","","","","","","",""
"Wonderworks: College Access Workshop","Summer Opportunity ","Fat envelopes/thin envelopes/test prep/extracurriculars/early decision/regular decision/fly-ins/FAFSAs/sticker price/discounted price— no one can take the stress out of applying to college. But what we can do is help Wonderworks’ rising 11th and 12th grade students and their parents be more knowledgeable and clearer-eyed about what the options are and, beyond that, how to go about putting together a game plan that takes advantage of individual strengths and the wide array of colleges and universities from which to choose and be chosen. This all-day program of presentations by counselors and admissions experts, followed by question and answer sessions, will help you begin to unravel the possibilities and complexities of the admissions process and its financial components too. But this is only a start, since the process itself is more like a marathon than a sprint, though the finish line is always closer than you think.","Wonder Works Houston","10, 11,12","Free","Texas","$0.00","7/13/2021","7/17/2021","5/1/2021","Wonderworks","Houston","832-450-9505","info@wonderworkshouston.org","https://www.wonderworkshouston.org/college-access-workshops","Leadership Business and Finance","","","","","","","",""
"Pomona College Academy for Youth Success (PAYS) i","Summer Opportunity ","The Pomona College Academy for Youth Success (PAYS) is a college access program for high school students that aims to increase the pool of students prepared to enter highly selective colleges and universities. Students come from our surrounding communities and from populations traditionally underrepresented in college – first generation college-going, low income, and/or African-American, Latinx, Native American, Pacific Islander, Southeast Asian or other groups.","Pomona College","9","Free","California","$0.00","6/29/2021","7/31/2021","2/21/2021","Pomona","Partnerships","(909) 607-1810","drapercenter@pomona.edu","http://www.pomona.edu/administration/draper-center/pays/what-is-pays","Law Government and Social Studies","","","","","","","",""
"Summer Science Research Program","Summer Opportunity ","The Rockefeller University Summer Science Research Program (SSRP) provides high school students with a unique and personalized opportunity to conduct hands-on research under the mentorship of leading scientists at one of the world’s premier biomedical research facilities. During this rigorous 7-week program, SSRP students become immersed in scientific culture while gaining an appreciation for the process of biomedical discovery,

Through a combination of laboratory experimentation, interactive lectures, and dynamic coursework, students will learn fundamental research techniques, become better acquainted with scientific peer-reviewed literature, and improve critical thinking. Equally as important, students will have a lot of fun—we strive to make the SSRP an inclusive and supportive environment where every student’s voice is heard and respected.","Rockefeller University","10,11,12","Free","New York","$0.00","6/22/2021","8/6/2021","9/16/2020","Douglas","Heigl","212-327-7930","dheigl@rockefeller.edu","https://www.rockefeller.edu/outreach/lab-initiative/summer-science/","Science Health and Medicine","","","","","","","",""
"TSU – UNITE, Pre-college engineering summer program","Summer Opportunity ","The TSU-Unite Precollege engineering program  is a four week, pre-collegiate summer experience for talented high school students from groups historically underserved in STEM. Held at Texas Southern University, this program encourages students to pursue college majors and careers in engineering and other STEM-related fields through a program of focused hands-on rigorous academics, enrichment, and career exploration.","Texas Southern University","9, 10, 11, 12","Free","Texas","$0.00","6/8/2021","7/2/2021","5/15/2021","Marcia","Robin-Stoute","713-313-7673","marcia.robin-stoute@tsu.edu","https://coset.tsu.edu/wp-content/uploads/2020/02/UNITE-2020-flyer.pdf","Technology Math and Engineering","","","","","","","",""
"Summer Maritime Academy for HS students","Summer Opportunity ","Learn about Maritime with field trips to Port of Houston and U.S. Coast Guard Facility, Guest Speaers that are experts in the Logistics, Transportation Planning, Homeland Security, and Maritime, Training in dealing with change, creating a professional image and pmarketting yourself, and effective communication strategies.","Texas Southern University","10, 11 12","Free","Texas","$0.00","6/8/2021","6/12/2021","5/1/2021","Mrs.","Williams","713-313-4394","williamsua@tsu.edu","http://transportation.tsu.edu/summer-maritime-transportation-academy/","","","","","","","","",""
"Summer High School Research Program: Characterization, Dynamics, and Biological Impact of Indoor Airborne Dust Exposure","Summer Opportunity ","10 week summer program with total stipend of $1200.
Academic enrichment courses and seminars to strengthen undergraduate school preparation.
Extensive hands-on laboratory research training.
Academic advising and mentoring from graduate students and faculty members.
Workshops for personal statement, interviewing skills, college admissions.","Texas Southern University","11, 12","Free","Texas","$0.00","6/1/2021","8/7/2021","3/30/2021","Daniel","Vrinceanu","712-313-4482","daniel.vrinceanu@tsu.edu","https://coset.tsu.edu/summer-high-school-research-program-2020/","Science Health and Medicine","","","","","","","",""
"Discover Architecture PreCollege Program: The Illinois School of Architecture","Summer Opportunity ","The Illinois School of Architecture will be offering it’s Discover Architecture Program via Zoom this summer to introduce high school students and recent graduates to the discipline of architecture both as a profession and as a field of academic endeavor. Students will learn about architecture through the lenses of architectural history, health and well-being, urbanism, detail and fabrication and building performance. Students will be given a sketchbook to practice their drawing, and freehand sketching. Upon completion, students will be exposed to the school’s program areas and the ability to begin a portfolio of their work. Virtually, students will visit the Illinois School of Architecture and an architectural firm. The four-hour sessions will be taught by University of Illinois faculty who are committed to giving the students at the Illinois School of Architecture a robust education and experience within the built environment. Discover Architecture is focused not only on helping prospective students decide if they want to pursue architecture as their field of chosen endeavor, but also on giving students new to architecture a look at their undergraduate careers. ","University of Illinois at UrbanaChampaign","9,10,11,12","No","Illinois","$50.00","7/13/2021","7/17/2021","5/1/2021","Undergraduate","Student","217-333-1330","arch-undergrad@illinois.edu","http://www.arch.illinois.edu/degrees/discover-architecture-pre-college-program#section-1","Arts Design and Communication","","","","","","","",""
"Carnegie Mellon Summer Academy For Mathematics And Science","Summer Opportunity ","The Summer Academy for Math and Science (SAMS) provides opportunities for students from underrepresented communities to explore STEM-related fields and earn college credit.
As SAMS Scholars, students engage in a rigorous curriculum taught by our renowned faculty and staff who are deeply committed to student success. The program allows students to develop deeper understanding in areas such as mathematics, biology, physics and computer programming via traditional classroom instruction, hands-on projects and engagement activities. In addition to their academic experiences, students also have the opportunity to collaborate, and develop meaningful relationships with peers from across the country.","Carnegie Mellon University","11, 12","Yes","Pennsylvania","$100.00","6/27/2021","8/8/2021","1/1/2021","Susie","Rush","","ssheldon@andrew.cmu.edu","https://www.cmu.edu/pre-college/academic-programs/sams.html","Technology Math and Engineering","","","","","","","",""
"Carnegie Mellon SAMS","Summer Opportunity ","The Summer Academy for Math and Science (SAMS) provides opportunities for students from underrepresented communities to explore STEM-related fields and earn college credit.
As SAMS Scholars, students engage in a rigorous curriculum taught by our renowned faculty and staff who are deeply committed to student success. The program allows students to develop deeper understanding in areas such as mathematics, biology, physics and computer programming via traditional classroom instruction, hands-on projects and engagement activities. In addition to their academic experiences, students also have the opportunity to collaborate, and develop meaningful relationships with peers from across the country.
","Carnegie Mellon University","11,12","Yes","Pennsylvania","$100.00","6/27/2021","8/8/2021","3/15/2021","Carnegie","Pre-College","412-268-5914","precollege@andrew.cmu.edu ","https://www.cmu.edu/pre-college/academic-programs/sams.html","Technology, Engineering and Math","","","","","","","",""
"Summer Cancer Research Experience","Summer Opportunity ","Are you current high school junior considering a science major in college and thinking about a career in scientific research?

To help make these informed decisions, consider an internship in which you will gain a first-hand research experience by working full-time on an independent cancer-related research project.","Roswell Park Cancer Institute","11","Yes","New York","$100.00","6/21/2021","8/6/2021","1/27/2021","Rosewell","Education","716-845-2339","education@roswellpark.org","https://www.roswellpark.org/education/summer-programs","Science Health and Medicine","","","","","","","",""
